N,t,norm_x,k,err
1,0.0009629726409912,0.0416666666666667,2,0.0000000000000000
8,0.0056929588317871,0.1047565609563080,16,0.0000000027424791
27,0.0732400417327881,0.1780865454181789,29,0.0000000074901421
64,0.4529109001159668,0.2599486302373079,46,0.0000000067524940
125,1.9554388523101807,0.3496048146305444,67,0.0000000084660110
216,6.7590930461883545,0.4465197081604503,91,0.0000000085958664
343,19.0098888874053955,0.5502490411901312,119,0.0000000091839869
512,46.4465718269348145,0.6604129171450178,151,0.0000000092409609
729,106.1212720870971680,0.7766827599056803,186,0.0000000090745628
1000,211.8460218906402588,0.8987719088039701,224,0.0000000097285048
1331,436.9549160003662109,1.0264281646137010,268,0.0000000093310995
1728,750.7465479373931885,1.1594279585394336,313,0.0000000099210513
2197,1288.3365929126739502,1.2975715470476985,362,0.0000000098998940
2744,2138.2648200988769531,1.4406793201354164,415,0.0000000098746361
3375,3257.9619359970092773,1.5885887321187615,0,0
4096,5086.4599320888519287,1.7411518381349682,0,0
