N,t,norm_x
1,0.0073959827423096,0.0416666666666667
8,0.0015099048614502,0.1047565601757848
27,0.0265979766845703,0.1780865385572470
64,0.1516039371490479,0.2599486181679209
125,0.6983890533447266,0.3496047903152361
216,2.4747138023376465,0.4465196723793615
343,7.3996090888977051,0.5502489892453304
512,20.0209040641784668,0.6604128492138062
729,47.0930359363555908,0.7766826759917138
1000,108.2560560703277588,0.8987717984453993
1331,267.3519649505615234,1.0264280373291983
1728,667.9096889495849609,1.1594277984317278
2197,1267.8264729976654053,1.2975713605771657
